model,timestamp,featset,model,r2,mar,mse,rmse
m2,2022-04-28 17:04:40,00_first_try,linear_regression,0.016949552884636777,2520.4065368710276,62728849.933161095,7905.048440299613
m1,2022-04-28 19:10:23,00_first_try,ridge_regression,0.020015679198381896,2506.702224517564,62542129.24231257,7893.023000906593
m1,2022-04-28 19:17:58,00_first_try,ridge_regression,0.025803931120987778,2477.8231921328556,62181831.53988092,7869.99451401708
m1,2022-04-28 19:41:17,00_first_try,tree_regression,1.3665931833731377,3522.9793402111964,149335449.10510895,12168.146761560343
