model,n_feats,mean_r2,mean_mse,mean_rmse,mean_mae
rfe_lr,25,0.071782,1.629448,1.27641,1.012879
pca_lr,100,-0.10464,1.94369,1.376401,1.006883
rfe_en,25,-0.000154,1.756091,1.32504,1.05198
pca_en,100,0.017513,1.72502,1.313276,1.042134
rfe_pr,25,0.062885,1.645396,1.28257,1.014091
pca_pr,100,-94992.349722,167635.79892,257.114405,6.901088
rfe_svr,25,0.085485,1.605675,1.267017,1.000313
pca_svr,100,0.119789,1.545324,1.243007,0.978516
rfe_kn,25,-0.080015,1.896174,1.376854,1.085815
pca_kn,100,-0.022776,1.795661,1.33991,1.05247
