model,n_feats,kernel,C,epsilon,mean_r2,mean_mse,mean_rmse,mean_mae
pca_svr,90,linear,0.5,0.5,0.088794,1.588993,1.260352,0.996886
pca_svr,100,linear,0.5,0.5,0.080661,1.603457,1.265913,0.99706
pca_svr,110,linear,0.5,0.5,0.07294,1.61725,1.271203,0.997767
pca_svr,90,rbf,0.5,0.5,0.138218,1.503012,1.225749,0.971186
pca_svr,100,rbf,0.5,0.5,0.138357,1.502751,1.225649,0.971541
pca_svr,110,rbf,0.5,0.5,0.138088,1.503158,1.225827,0.971569
pca_svr,90,sigmoid,0.5,0.5,-285.22251,501.116698,22.105329,7.361539
pca_svr,100,sigmoid,0.5,0.5,-263.270019,462.747651,21.232819,7.008825
pca_svr,110,sigmoid,0.5,0.5,-243.146079,427.478129,20.398581,6.714559
pca_svr,90,linear,0.5,1.0,0.092966,1.581709,1.257484,0.997639
pca_svr,100,linear,0.5,1.0,0.076947,1.610434,1.268551,0.999249
pca_svr,110,linear,0.5,1.0,0.072904,1.617817,1.271281,0.998588
pca_svr,90,rbf,0.5,1.0,0.134762,1.508969,1.228198,0.975942
pca_svr,100,rbf,0.5,1.0,0.13521,1.508188,1.227881,0.975856
pca_svr,110,rbf,0.5,1.0,0.135218,1.508123,1.227865,0.975912
pca_svr,90,sigmoid,0.5,1.0,-276.188032,485.285588,21.76668,7.312714
pca_svr,100,sigmoid,0.5,1.0,-253.965506,446.45636,20.87134,6.956351
pca_svr,110,sigmoid,0.5,1.0,-233.724194,410.942707,20.017774,6.65609
pca_svr,90,linear,1.0,0.5,0.088726,1.589113,1.260399,0.996891
pca_svr,100,linear,1.0,0.5,0.080579,1.60362,1.265971,0.997045
pca_svr,110,linear,1.0,0.5,0.072779,1.617528,1.271311,0.997815
pca_svr,90,rbf,1.0,0.5,0.138908,1.501867,1.225268,0.970092
pca_svr,100,rbf,1.0,0.5,0.13964,1.500573,1.22475,0.970233
pca_svr,110,rbf,1.0,0.5,0.139294,1.501116,1.224983,0.970116
pca_svr,90,sigmoid,1.0,0.5,-1190.700649,2086.548695,45.102837,14.762906
pca_svr,100,sigmoid,1.0,0.5,-1100.645188,1928.940249,43.352031,14.052498
pca_svr,110,sigmoid,1.0,0.5,-1023.059112,1792.961797,41.778289,13.447204
pca_svr,90,linear,1.0,1.0,0.093033,1.581589,1.257437,0.997622
pca_svr,100,linear,1.0,1.0,0.076897,1.610525,1.268585,0.999241
pca_svr,110,linear,1.0,1.0,0.073006,1.617633,1.271211,0.99855
pca_svr,90,rbf,1.0,1.0,0.136694,1.50561,1.226821,0.974961
pca_svr,100,rbf,1.0,1.0,0.13736,1.504447,1.226348,0.974882
pca_svr,110,rbf,1.0,1.0,0.136978,1.505045,1.226608,0.97491
pca_svr,90,sigmoid,1.0,1.0,-1182.90244,2072.959713,44.954048,14.727441
pca_svr,100,sigmoid,1.0,1.0,-1092.156058,1914.021185,43.182355,14.018266
pca_svr,110,sigmoid,1.0,1.0,-1015.532278,1779.832911,41.626595,13.416558
