model,n_feats,mean_r2,mean_mse,mean_rmse,mean_mae
lr,518,-0.363892,2.089387,1.421767,0.952261
rfe_lr,2,0.012326,1.509209,1.228484,0.980014
rfe_lr,10,0.05003,1.451778,1.204804,0.957445
rfe_lr,25,0.067284,1.425389,1.193828,0.946717
rfe_lr,50,0.014483,1.507252,1.226297,0.943864
rfe_lr,100,0.046096,1.458684,1.206718,0.935748
rfe_lr,200,-0.146983,1.758271,1.309409,0.940159
rfe_lr,300,-0.127941,1.728084,1.303225,0.945052
rfe_lr,400,-0.257022,1.925707,1.373487,0.950779
rfe_lr,500,-0.361744,2.086091,1.420834,0.952251
pca_lr,2,0.024099,1.491213,1.221138,0.971436
pca_lr,10,0.040981,1.465443,1.210535,0.962652
pca_lr,25,0.061106,1.434703,1.197768,0.949871
pca_lr,50,-0.052087,1.608091,1.25936,0.945673
pca_lr,100,0.08959,1.391099,1.179434,0.9349
pca_lr,200,0.056684,1.441926,1.200488,0.936951
pca_lr,300,-0.073104,1.641539,1.275013,0.940922
pca_lr,400,-0.367207,2.091425,1.399095,0.947369
pca_lr,500,-0.325281,2.029304,1.401438,0.95129
kpca_lr,2,-0.000217,1.528393,1.236266,0.985509
kpca_lr,10,0.01851,1.499772,1.224619,0.972188
kpca_lr,25,-0.747383,2.672871,1.518592,0.974311
kpca_lr,50,0.036165,1.472769,1.213506,0.95747
kpca_lr,100,-0.462371,2.236245,1.422456,0.946481
kpca_lr,200,-0.254633,1.926864,1.349168,0.939664
kpca_lr,300,-46.240601,72.361787,4.93235,1.010867
kpca_lr,400,-45.47158,71.18036,4.854605,1.010082
kpca_lr,500,-114.542898,176.967643,7.065063,1.05771
iso_lr,2,0.022083,1.494295,1.2224,0.972369
iso_lr,10,0.046034,1.457723,1.207345,0.960418
iso_lr,25,0.054032,1.445489,1.202266,0.953371
iso_lr,50,0.065494,1.427959,1.194952,0.948605
iso_lr,100,0.065582,1.427817,1.194895,0.948261
iso_lr,200,0.059211,1.43755,1.198938,0.950351
iso_lr,300,0.033106,1.477526,1.21513,0.954529
iso_lr,400,0.024207,1.491109,1.220566,0.956291
iso_lr,500,0.017358,1.501582,1.224836,0.959641
